0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
1 1
1 1
4 4
5 5
7 7
8 8
9 9
10 10
11 11
11 11
11 11
12 12
12 12
13 13
14 14
15 15
20 20
20 20
21 21
22 22
24 24
25 25
26 26
26 26
29 29
37 37
37 37
38 38
41 41
48 48
50 50
50 50
51 51
52 52
52 52
54 54
55 55
57 57
61 61
62 62
62 62
63 63
63 63
69 69
71 71
72 72
72 72
74 74
77 77
77 77
77 77
79 79
81 81
83 83
87 87
88 88
88 88
89 89
93 93
94 94
99 99
101 101
103 103
107 107
109 109
109 109
118 118
119 119
119 119
122 122
129 129
130 130
134 134
136 136
147 147
151 151
151 151
151 151
154 154
156 156
156 156
159 159
167 167
184 184
191 191
191 191
193 193
197 197
201 201
211 211
220 220
226 226
227 227
228 228
231 231
237 237
241 241
241 241
246 246
259 259
265 265
265 265
267 267
269 269
276 276
277 277
292 292
294 294
308 308
317 317
318 318
326 326
340 340
341 341
343 343
353 353
360 360
365 365
384 384
385 385
391 391
392 392
394 394
395 395
395 395
400 400
404 404
408 408
412 412
431 431
437 437
441 441
442 442
448 448
455 455
480 480
483 483
485 485
494 494
496 496
539 539
557 557
560 560
560 560
566 566
569 569
584 584
591 591
615 615
619 619
631 631
660 660
694 694
696 696
697 697
713 713
739 739
754 754
769 769
782 782
793 793
811 811
851 851
859 859
861 861
891 891
927 927
978 978
1022 1022
1037 1037
1203 1203
1241 1241
1388 1388
1401 1401
1426 1426
1547 1547
1727 1727
1804 1804
1927 1927
1969 1969
2056 2056
2440 2440
2449 2449
2841 2841
3489 3489
9373 9373
10036 10036
10098 10098
