7 613
3482 5567
1 197
28 2877
6 90
3492 16
3484 1
5 1695
3484 9
76 3932
443 1373
11 296
11 727
11 2223
1 214
1 1
3484 1
30 1814
1 50
3 596
6 88
2065 864
5 458
13 569
3484 3
195 391
319 3671
3484 1
3489 547
5 271
2 436
424 1337
5 1695
3484 1
3484 6
3489 1
5 1227
3485 1
5 1695
3485 1
2775 6115
5 1695
3487 1
103 1
8 776
59 1
3485 1
5 159
16245 5400
323 2943
5 1695
3487 10
3485 9
1 22
3485 617
16 403
21 584
1 1
128 838
1 1
3490 9
3 272
3 0
3493 508
1 331
3485 9
817 3539
5 1695
3485 1597
11 524
445 810
3482 1516
49 496
295 1717
22 1214
3490 54
642 2171
3485 9
1 111
2 465
1104 6019
5 1695
3485 9
2503 4559
182 3213
1 350
3485 9
1 1
7 2885
17 2065
97 994
3 613
1 19
3 622
171 1047
3487 9
1 476
5 1695
66 732
3485 10
55 2105
2 35
2174 4518
3485 1546
3485 10
30 4533
132 3651
3485 10
7 444
42 1749
1 39
633 3960
3485 1752
30 580
3487 2
11 3558
3 214
17 894
20 2112
6 391
1 51
1 219
3485 9
3482 67
293 1247
1 115
682 4713
436 1960
21 1340
3118 5051
2 684
4 54
3991 6162
21 1033
3482 76
3485 2
2 1046
3 244
3482 3
207 1714
3482 2
3490 2
3485 2
76 4244
4 366
3485 2
3485 2
1 416
1278 3863
16 404
47 1563
16 1788
1 827
1 3
11 367
1 630
1 9
750 3639
1 155
3083 6118
1 47
3485 746
